ticket_id,product,category,issue_description,resolution_notes,priority,status,channel,region,subscription_type,customer_tenure_months,previous_tickets,customer_satisfaction_score,first_response_time_hours,resolution_time_hours,ticket_created_date,ticket_resolved_date,escalated,sla_breached,language,issue_complexity_score,customer_segment,customer_id,order_value
1375,Cloud Storage,Performance Issue,I am unable to access my account after entering the correct credentials.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,Resolved,Chat,South America,Enterprise,16,4,5,13.9,7.17,2023-04-21,2023-04-26,True,True,English,2,Individual,4c8ede985e4b,131.14
1376,Billing System,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,Low,Pending Customer,Email,Europe,Enterprise,21,2,1,48.72,153.49,2024-02-25,2024-03-04,False,False,English,5,Corporate,d86551bdcc36,436.67
1377,Payment Gateway,Refund Request,The application crashes whenever I try to upload a file.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,Open,Web Form,Africa,Free,20,20,3,39.33,20.18,2024-11-10,2024-11-18,True,True,English,6,Corporate,b56e69971198,228.2
1378,Billing System,Subscription Cancellation,Two-factor authentication codes are not being delivered to my phone.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,In Progress,Phone,Australia,Free,7,15,1,41.13,189.85,2024-04-03,2024-04-10,False,False,German,1,Individual,de59d3647b33,262.26
1379,Cloud Storage,Performance Issue,The application crashes whenever I try to upload a file.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Resolved,Web Form,Africa,Basic,47,4,1,44.63,85.44,2023-05-31,2023-06-11,True,False,German,6,Corporate,b243b58cf9e9,186.02
1380,CRM Platform,Data Sync Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,Urgent,Open,Chat,Africa,Free,58,19,2,41.64,96.81,2022-12-18,2022-12-27,False,True,German,9,Small Business,1ded970e4a7d,300.55
1381,E-commerce Store,Security Concern,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,High,In Progress,Chat,Australia,Enterprise,43,14,4,12.37,233.12,2023-05-24,2023-06-02,False,True,French,7,Corporate,f01f07867293,90.13
1382,Mobile App,Bug Report,The application crashes whenever I try to upload a file.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,Pending Customer,Chat,North America,Basic,17,10,2,70.02,100.33,2024-04-21,2024-04-27,False,True,Spanish,4,Small Business,9971700af82c,201.63
1383,Subscription Service,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Provided step-by-step troubleshooting instructions and issue resolved.,High,Pending Customer,Chat,North America,Enterprise,22,8,5,19.45,238.0,2023-06-30,2023-07-05,False,False,Japanese,3,Corporate,f4bcfeca173d,485.01
1384,Billing System,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,The issue was escalated to engineering and resolved in the latest patch.,Low,Open,Web Form,Asia,Basic,58,8,4,21.11,141.21,2022-08-13,2022-08-27,False,True,French,10,Corporate,a71070b1d1e6,136.49
1385,Cloud Storage,Bug Report,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,High,Open,Phone,Asia,Basic,55,8,4,63.67,43.4,2022-08-31,2022-09-05,True,True,Spanish,6,Corporate,27464863fd0c,331.8
1386,Analytics Dashboard,Account Suspension,I am experiencing very slow performance while using the dashboard.,Bug logged internally and workaround shared with the customer.,Medium,Resolved,Social Media,Africa,Basic,20,6,1,71.13,152.93,2024-10-27,2024-10-28,False,False,Japanese,2,Corporate,f2d01d284baf,169.34
1387,Web Portal,Subscription Cancellation,I am experiencing very slow performance while using the dashboard.,Explained billing breakdown and clarified applicable charges.,Medium,Open,Social Media,South America,Free,25,10,1,30.87,204.03,2024-04-26,2024-04-29,False,False,English,2,Individual,e9cdce5de73b,389.0
1388,Analytics Dashboard,Refund Request,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Low,In Progress,Web Form,Europe,Enterprise,51,16,2,46.18,27.96,2023-01-27,2023-01-28,True,True,French,3,Small Business,e3b2082f4d00,74.13
1389,Analytics Dashboard,Data Sync Issue,I would like to request a refund for the recent charge.,Data synchronization restored after backend service restart.,Medium,Open,Email,Africa,Free,18,8,2,18.9,4.31,2024-02-19,2024-02-28,False,True,Japanese,2,Corporate,47613eaab550,485.21
1390,Analytics Dashboard,Performance Issue,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,Urgent,Pending Customer,Web Form,Africa,Enterprise,45,19,5,12.69,55.88,2024-11-28,2024-12-09,False,False,German,7,Small Business,8c1e6d408872,232.36
1391,Billing System,Performance Issue,I found a bug in the latest update affecting report generation.,Subscription status corrected and confirmation email sent to customer.,High,Closed,Email,Asia,Basic,37,1,2,24.88,194.23,2022-07-24,2022-07-24,True,True,Japanese,10,Corporate,94eacea4cc67,125.66
1392,E-commerce Store,Performance Issue,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,Low,Resolved,Phone,North America,Free,4,2,5,21.3,94.07,2024-05-08,2024-05-11,True,False,Chinese,3,Small Business,219b049f3ec8,46.01
1393,E-commerce Store,Data Sync Issue,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,High,In Progress,Phone,Europe,Basic,31,14,5,24.16,197.69,2024-10-24,2024-10-29,False,False,German,9,Corporate,1ae61ce1e64d,93.18
1394,E-commerce Store,Performance Issue,The system is not syncing data across devices properly.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,Closed,Email,North America,Premium,50,5,2,61.41,141.77,2022-12-16,2022-12-18,True,False,Spanish,10,Small Business,8348cebefa4b,264.69
1395,CRM Platform,Login Issue,The application crashes whenever I try to upload a file.,Data synchronization restored after backend service restart.,High,Open,Web Form,North America,Premium,49,2,3,41.28,20.63,2022-04-19,2022-04-21,True,False,Japanese,8,Small Business,6ad5378a116c,175.13
1396,Subscription Service,Data Sync Issue,I would like to request a refund for the recent charge.,Bug logged internally and workaround shared with the customer.,High,In Progress,Social Media,Asia,Premium,9,13,2,2.06,15.23,2023-02-18,2023-02-28,False,True,Spanish,7,Individual,96f8347148ae,416.15
1397,API Service,Bug Report,I would like to request a refund for the recent charge.,The issue was escalated to engineering and resolved in the latest patch.,Medium,Resolved,Phone,Australia,Basic,45,16,1,21.01,171.14,2024-12-12,2024-12-19,True,False,Spanish,4,Individual,5765036f1d86,221.13
1398,E-commerce Store,Feature Request,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,Low,In Progress,Email,Africa,Free,15,15,5,39.13,175.75,2022-06-27,2022-07-05,True,True,German,8,Small Business,2a92f3a9efcb,131.87
1399,CRM Platform,Subscription Cancellation,Two-factor authentication codes are not being delivered to my phone.,Provided step-by-step troubleshooting instructions and issue resolved.,High,Pending Customer,Phone,Australia,Basic,17,16,1,44.36,193.62,2023-12-02,2023-12-14,False,True,English,7,Corporate,b38667549739,312.4
1400,Payment Gateway,Login Issue,The system is not syncing data across devices properly.,Explained billing breakdown and clarified applicable charges.,Medium,In Progress,Chat,Africa,Basic,24,2,3,70.13,125.29,2023-02-25,2023-02-28,False,True,German,1,Small Business,c1d976c44193,356.32
1401,Analytics Dashboard,Payment Problem,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,Closed,Web Form,South America,Enterprise,19,17,2,53.04,61.94,2024-06-20,2024-06-24,True,False,English,10,Small Business,5d6e270d2b1e,91.85
1402,Mobile App,Account Suspension,There seems to be a discrepancy in my billing statement for this month.,The issue was escalated to engineering and resolved in the latest patch.,Medium,In Progress,Phone,Australia,Enterprise,30,3,2,27.26,44.2,2024-09-05,2024-09-19,False,True,Chinese,2,Small Business,7adf99ea315b,92.13
1403,E-commerce Store,Refund Request,I am experiencing very slow performance while using the dashboard.,Provided step-by-step troubleshooting instructions and issue resolved.,High,Pending Customer,Chat,Europe,Free,2,8,1,69.75,41.6,2023-07-20,2023-07-25,True,False,French,8,Individual,ce9a10c349a6,27.97
1404,Analytics Dashboard,Performance Issue,I am unable to access my account after entering the correct credentials.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,Resolved,Email,Africa,Basic,28,15,2,54.75,228.78,2024-09-26,2024-10-05,True,True,Japanese,2,Small Business,f28ffdb7089c,370.84
1405,Subscription Service,Feature Request,Two-factor authentication codes are not being delivered to my phone.,We have reset the account credentials and advised the customer to retry login.,Low,Resolved,Email,Europe,Free,48,15,5,44.69,192.65,2024-10-11,2024-10-14,True,False,French,8,Small Business,51ad243159d9,335.26
1406,Cloud Storage,Account Suspension,The system is not syncing data across devices properly.,Bug logged internally and workaround shared with the customer.,High,Open,Phone,Africa,Enterprise,34,16,1,25.35,178.51,2023-02-17,2023-03-02,True,False,English,7,Corporate,29d316d8c6f8,242.57
1407,E-commerce Store,Bug Report,Two-factor authentication codes are not being delivered to my phone.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,Pending Customer,Social Media,Asia,Enterprise,8,2,2,15.3,80.88,2023-05-06,2023-05-12,True,True,English,6,Small Business,f76d8ff2fa47,423.64
1408,Cloud Storage,Account Suspension,Two-factor authentication codes are not being delivered to my phone.,Explained billing breakdown and clarified applicable charges.,High,Closed,Web Form,Australia,Premium,34,15,5,54.39,122.28,2022-09-21,2022-09-22,False,True,Spanish,6,Individual,f383515043d8,404.78
1409,CRM Platform,Data Sync Issue,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,Low,Resolved,Phone,Europe,Free,9,15,3,29.48,220.09,2023-02-24,2023-03-02,True,True,English,10,Corporate,f5c00bc6f754,296.82
1410,Subscription Service,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Security settings updated and customer notified of precautionary measures.,Urgent,Open,Web Form,Europe,Free,27,6,3,30.33,50.25,2022-02-04,2022-02-17,False,False,Chinese,3,Corporate,f2c7bbd89721,435.45
1411,Subscription Service,Feature Request,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,Medium,Resolved,Chat,North America,Premium,50,16,2,51.23,73.8,2022-01-04,2022-01-16,False,True,French,2,Individual,6d9a8aefd44f,110.86
1412,Billing System,Security Concern,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,High,Closed,Web Form,Europe,Premium,13,20,1,51.28,23.44,2022-01-27,2022-01-30,True,True,English,7,Small Business,415ccabb0290,64.84
1413,Subscription Service,Account Suspension,The system is not syncing data across devices properly.,The duplicate charge was reversed and refund processed within 3-5 business days.,Medium,Resolved,Phone,Australia,Premium,1,6,2,70.37,118.43,2023-09-15,2023-09-22,True,True,Spanish,6,Individual,4f0d5094a2fa,142.18
1414,CRM Platform,Bug Report,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Resolved,Phone,South America,Premium,4,7,1,26.89,120.82,2022-08-09,2022-08-19,True,False,French,5,Corporate,8967e9bcee6b,37.97
1415,Subscription Service,Account Suspension,I found a bug in the latest update affecting report generation.,Data synchronization restored after backend service restart.,Medium,Open,Email,Asia,Enterprise,29,15,4,19.68,22.33,2024-10-22,2024-10-27,False,True,German,3,Corporate,0fa2552dd6bf,270.27
1416,Billing System,Data Sync Issue,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,In Progress,Social Media,Asia,Premium,13,8,3,33.25,200.24,2022-08-11,2022-08-24,False,False,Chinese,6,Corporate,8625ae34ce3c,468.94
1417,Billing System,Data Sync Issue,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,High,Resolved,Web Form,Australia,Basic,37,20,3,69.09,181.87,2022-03-11,2022-03-22,True,False,French,3,Corporate,071b1b2f80fc,29.28
1418,Mobile App,Performance Issue,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,Urgent,Closed,Email,South America,Basic,2,7,2,39.87,132.24,2022-08-06,2022-08-14,True,True,German,8,Small Business,61e1aa22d7f1,69.83
1419,Analytics Dashboard,Subscription Cancellation,The application crashes whenever I try to upload a file.,Provided step-by-step troubleshooting instructions and issue resolved.,Medium,Resolved,Phone,South America,Enterprise,41,3,5,45.47,1.6,2023-02-13,2023-02-23,False,False,Chinese,8,Small Business,4f77c67b56e5,231.58
1420,E-commerce Store,Data Sync Issue,The application crashes whenever I try to upload a file.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,Closed,Email,Australia,Premium,28,17,5,35.9,232.09,2024-07-11,2024-07-14,True,False,Chinese,1,Individual,cc26083604f9,467.6
1421,Analytics Dashboard,Refund Request,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,Urgent,Closed,Email,Africa,Premium,34,1,3,1.51,22.66,2022-12-27,2023-01-02,False,False,German,1,Individual,92c4cb4af4aa,164.92
1422,CRM Platform,Bug Report,The system is not syncing data across devices properly.,Data synchronization restored after backend service restart.,High,Resolved,Web Form,Africa,Premium,47,15,3,17.95,97.05,2022-03-13,2022-03-20,True,True,English,2,Corporate,26a9962f2238,258.55
1423,Payment Gateway,Payment Problem,The system is not syncing data across devices properly.,Subscription status corrected and confirmation email sent to customer.,Low,In Progress,Email,Asia,Premium,42,5,3,45.56,25.75,2024-02-14,2024-02-21,True,True,Japanese,10,Small Business,e26f64d10b88,30.37
1424,Billing System,Data Sync Issue,I would like to request a refund for the recent charge.,Explained billing breakdown and clarified applicable charges.,Low,In Progress,Chat,Europe,Enterprise,44,13,4,28.33,103.82,2023-01-07,2023-01-12,False,True,English,5,Individual,bd340a3c50e5,82.69
1425,Subscription Service,Subscription Cancellation,I am experiencing very slow performance while using the dashboard.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,Closed,Email,Australia,Basic,11,18,2,45.81,209.55,2023-03-23,2023-03-31,False,True,Spanish,1,Small Business,4f3a78132d66,493.45
1426,Subscription Service,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Subscription status corrected and confirmation email sent to customer.,Low,Open,Web Form,Australia,Premium,29,14,4,60.72,118.9,2022-06-13,2022-06-21,True,True,Spanish,6,Small Business,af4db888e664,482.91
1427,Mobile App,Login Issue,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,Urgent,Resolved,Web Form,Australia,Basic,18,19,4,47.86,42.82,2023-01-16,2023-01-19,False,False,German,10,Small Business,e4b74d826678,12.42
1428,Cloud Storage,Feature Request,There seems to be a discrepancy in my billing statement for this month.,Subscription status corrected and confirmation email sent to customer.,High,In Progress,Phone,South America,Premium,44,16,5,10.95,205.6,2022-07-14,2022-07-25,True,False,Japanese,9,Small Business,c77412370d42,476.39
1429,Subscription Service,Refund Request,I would like to request a refund for the recent charge.,Subscription status corrected and confirmation email sent to customer.,High,Open,Phone,South America,Enterprise,32,1,3,4.81,99.88,2023-10-07,2023-10-18,True,True,Chinese,5,Small Business,15abc0d0f013,323.17
1430,Analytics Dashboard,Refund Request,I am unable to access my account after entering the correct credentials.,Subscription status corrected and confirmation email sent to customer.,High,Resolved,Chat,Africa,Basic,16,9,5,69.97,86.94,2023-10-18,2023-10-26,False,False,English,6,Corporate,4bfb53dfbd19,435.28
1431,Mobile App,Bug Report,The system is not syncing data across devices properly.,Data synchronization restored after backend service restart.,Medium,In Progress,Phone,Africa,Enterprise,6,12,1,48.05,179.64,2022-10-01,2022-10-07,False,True,German,8,Small Business,14aa46f39d20,232.82
1432,Cloud Storage,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,In Progress,Web Form,Australia,Basic,59,3,5,11.58,174.01,2022-02-20,2022-02-23,False,True,Chinese,7,Individual,81a35e44caa0,262.64
1433,Analytics Dashboard,Payment Problem,The system is not syncing data across devices properly.,Security settings updated and customer notified of precautionary measures.,High,Pending Customer,Phone,North America,Basic,21,17,5,63.98,220.0,2023-05-29,2023-06-11,True,False,French,4,Individual,ace232260b1a,249.53
1434,Billing System,Bug Report,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,Pending Customer,Web Form,Australia,Enterprise,24,14,1,31.0,190.58,2024-06-01,2024-06-08,False,True,Japanese,1,Corporate,540809a385f4,336.76
1435,Analytics Dashboard,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Bug logged internally and workaround shared with the customer.,Medium,Pending Customer,Web Form,South America,Basic,14,0,5,12.65,87.4,2024-04-15,2024-04-29,False,True,German,4,Small Business,1687ad234820,78.43
1436,Mobile App,Security Concern,I am experiencing very slow performance while using the dashboard.,Bug logged internally and workaround shared with the customer.,Low,Resolved,Chat,Africa,Free,16,6,4,22.78,12.74,2023-05-15,2023-05-15,False,False,Japanese,7,Individual,ce2e9ed4d338,24.69
1437,E-commerce Store,Payment Problem,I am unable to access my account after entering the correct credentials.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,In Progress,Web Form,South America,Premium,24,10,3,5.67,180.28,2022-03-12,2022-03-15,False,False,Spanish,2,Individual,bfab6c9555cf,160.89
1438,Mobile App,Login Issue,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,Low,In Progress,Web Form,North America,Free,41,3,4,19.22,158.77,2024-05-24,2024-05-25,True,True,French,1,Small Business,34063cbe389d,355.29
1439,Web Portal,Subscription Cancellation,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,Urgent,Pending Customer,Email,Europe,Basic,58,6,5,41.41,83.82,2023-08-13,2023-08-18,False,True,Japanese,8,Individual,403c918d0a63,108.91
1440,E-commerce Store,Login Issue,There seems to be a discrepancy in my billing statement for this month.,We have reset the account credentials and advised the customer to retry login.,Urgent,Resolved,Email,Asia,Basic,60,7,2,56.0,120.41,2022-12-12,2022-12-15,True,False,French,2,Individual,7ca82db1ae34,339.98
1441,Mobile App,Data Sync Issue,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,Medium,Closed,Social Media,North America,Basic,4,16,5,61.96,163.54,2023-08-23,2023-09-04,True,True,English,3,Small Business,5d2a88151a37,485.26
1442,Subscription Service,Performance Issue,I am unable to access my account after entering the correct credentials.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,Pending Customer,Social Media,North America,Premium,16,1,2,59.01,165.43,2022-04-04,2022-04-17,True,False,French,3,Individual,97480610fe4d,56.01
1443,CRM Platform,Bug Report,I would like to request a refund for the recent charge.,Bug logged internally and workaround shared with the customer.,High,In Progress,Social Media,Australia,Basic,54,17,3,53.22,5.58,2023-08-29,2023-08-29,True,True,English,9,Small Business,b6cdeb503cd8,339.58
1444,Mobile App,Performance Issue,I am unable to access my account after entering the correct credentials.,Security settings updated and customer notified of precautionary measures.,High,Closed,Web Form,Africa,Free,54,10,1,40.33,218.8,2022-04-06,2022-04-14,False,False,Chinese,8,Small Business,ae7d95870f94,227.44
1445,Web Portal,Payment Problem,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,Urgent,Pending Customer,Email,North America,Premium,23,12,5,49.09,121.49,2023-04-20,2023-04-29,False,False,German,5,Corporate,89302b7e3fdd,435.39
1446,Mobile App,Bug Report,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,High,Resolved,Phone,North America,Free,35,0,2,31.7,143.02,2024-06-25,2024-06-27,True,False,Japanese,1,Small Business,2a4ef6e181af,96.8
1447,Billing System,Login Issue,My subscription was cancelled without my request and I need clarification.,Bug logged internally and workaround shared with the customer.,High,Resolved,Web Form,Asia,Enterprise,27,17,3,68.22,224.54,2022-08-28,2022-09-03,True,True,German,8,Small Business,d1360ecbdd9c,349.39
1448,E-commerce Store,Performance Issue,The application crashes whenever I try to upload a file.,Payment gateway timeout issue fixed and monitoring implemented.,High,In Progress,Social Media,Australia,Basic,1,6,5,55.05,86.54,2022-05-18,2022-05-21,False,True,Japanese,4,Individual,dd0e0a3cce23,420.68
1449,Analytics Dashboard,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,Pending Customer,Web Form,Asia,Enterprise,13,20,4,61.72,9.83,2023-04-30,2023-05-04,True,False,Chinese,6,Small Business,28f89a83fce8,472.86
1450,Subscription Service,Refund Request,The payment was deducted from my bank account but the transaction shows failed.,We have reset the account credentials and advised the customer to retry login.,High,Open,Phone,South America,Free,60,1,5,62.36,5.82,2023-04-23,2023-05-02,True,False,Japanese,4,Individual,aef3a627f038,344.79
1451,Web Portal,Security Concern,I would like to request a refund for the recent charge.,Payment gateway timeout issue fixed and monitoring implemented.,Urgent,Closed,Social Media,North America,Enterprise,12,7,4,18.18,183.4,2024-10-26,2024-11-05,True,True,German,8,Individual,4d3a841f9073,253.62
1452,Billing System,Payment Problem,The system is not syncing data across devices properly.,The issue was escalated to engineering and resolved in the latest patch.,Low,In Progress,Web Form,Australia,Premium,59,20,2,18.97,229.31,2022-11-24,2022-12-02,True,False,English,9,Small Business,1162ee8b9a15,312.75
1453,E-commerce Store,Feature Request,The application crashes whenever I try to upload a file.,Payment gateway timeout issue fixed and monitoring implemented.,Medium,Open,Social Media,Asia,Enterprise,32,0,4,59.24,105.01,2023-04-10,2023-04-10,False,False,Japanese,1,Individual,cd54faa32c87,435.76
1454,Web Portal,Login Issue,My subscription was cancelled without my request and I need clarification.,Subscription status corrected and confirmation email sent to customer.,Low,Resolved,Phone,North America,Enterprise,11,18,4,37.97,39.56,2024-01-27,2024-02-02,False,False,Japanese,5,Corporate,82fd0ed1b9a8,289.6
1455,Cloud Storage,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,Medium,Resolved,Web Form,Africa,Premium,29,11,5,64.95,111.28,2022-11-02,2022-11-16,True,False,Spanish,6,Corporate,ee2b452e82d2,24.89
1456,Subscription Service,Payment Problem,The system is not syncing data across devices properly.,Security settings updated and customer notified of precautionary measures.,Urgent,Open,Email,South America,Free,17,1,2,25.54,229.03,2024-10-11,2024-10-18,True,True,English,7,Small Business,335e12f2ade7,466.16
1457,Billing System,Payment Problem,My subscription was cancelled without my request and I need clarification.,Payment gateway timeout issue fixed and monitoring implemented.,Urgent,Open,Web Form,South America,Premium,1,13,3,13.26,167.42,2022-01-02,2022-01-09,True,True,Chinese,8,Corporate,784e0a0278b7,347.87
1458,CRM Platform,Subscription Cancellation,I am unable to access my account after entering the correct credentials.,The issue was escalated to engineering and resolved in the latest patch.,High,In Progress,Email,South America,Free,21,16,3,71.69,66.18,2022-12-10,2022-12-23,False,True,French,8,Corporate,5880e3e856f8,341.49
1459,CRM Platform,Login Issue,Two-factor authentication codes are not being delivered to my phone.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,Open,Chat,South America,Premium,2,19,4,16.69,207.77,2024-06-11,2024-06-20,True,True,German,6,Small Business,5672bd532264,115.68
1460,Billing System,Account Suspension,The payment was deducted from my bank account but the transaction shows failed.,Bug logged internally and workaround shared with the customer.,High,In Progress,Phone,Europe,Enterprise,59,2,4,39.84,3.87,2023-01-02,2023-01-06,True,True,German,3,Individual,8a1927ddfc48,332.85
1461,Payment Gateway,Performance Issue,There seems to be a discrepancy in my billing statement for this month.,Security settings updated and customer notified of precautionary measures.,Urgent,Open,Phone,North America,Free,48,11,3,70.7,3.01,2024-02-28,2024-03-03,True,False,Chinese,5,Small Business,b6f3b9f1ef29,202.99
1462,Billing System,Data Sync Issue,I found a bug in the latest update affecting report generation.,Data synchronization restored after backend service restart.,Urgent,In Progress,Phone,Australia,Basic,56,12,2,22.93,6.96,2023-12-05,2023-12-19,False,True,French,8,Corporate,36896231da03,329.1
1463,CRM Platform,Security Concern,I am experiencing very slow performance while using the dashboard.,Explained billing breakdown and clarified applicable charges.,Medium,Open,Chat,South America,Premium,49,8,3,38.39,5.75,2023-02-16,2023-02-23,True,False,Spanish,7,Individual,eb8fe95d8bd3,62.23
1464,Subscription Service,Account Suspension,Two-factor authentication codes are not being delivered to my phone.,Security settings updated and customer notified of precautionary measures.,Medium,In Progress,Chat,Africa,Enterprise,3,16,1,70.59,1.58,2022-06-07,2022-06-12,False,True,English,1,Corporate,51f54f0470dd,332.34
1465,API Service,Payment Problem,My subscription was cancelled without my request and I need clarification.,Bug logged internally and workaround shared with the customer.,Low,Resolved,Social Media,Europe,Free,34,0,3,37.32,193.74,2023-09-11,2023-09-19,True,False,English,1,Individual,2d046a4ed043,499.71
1466,CRM Platform,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,We have reset the account credentials and advised the customer to retry login.,Urgent,In Progress,Phone,Africa,Enterprise,52,18,5,3.22,45.07,2023-11-28,2023-11-28,True,True,Japanese,10,Small Business,394fc1feccf5,33.62
1467,E-commerce Store,Feature Request,Two-factor authentication codes are not being delivered to my phone.,Payment gateway timeout issue fixed and monitoring implemented.,High,In Progress,Social Media,North America,Premium,37,16,2,28.85,38.93,2022-06-03,2022-06-05,False,False,French,10,Individual,46e684bbe40c,488.82
1468,Analytics Dashboard,Bug Report,The application crashes whenever I try to upload a file.,The duplicate charge was reversed and refund processed within 3-5 business days.,Urgent,Pending Customer,Web Form,Africa,Free,49,13,4,25.84,204.3,2022-11-01,2022-11-01,True,True,Chinese,1,Small Business,ba29b2881645,209.38
1469,CRM Platform,Payment Problem,Two-factor authentication codes are not being delivered to my phone.,Provided step-by-step troubleshooting instructions and issue resolved.,Low,Closed,Web Form,Europe,Premium,13,4,2,61.06,6.49,2024-03-22,2024-03-26,True,False,French,3,Small Business,c25c6761d749,436.67
1470,CRM Platform,Performance Issue,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,Urgent,Open,Social Media,Africa,Premium,55,16,2,41.73,75.64,2024-01-16,2024-01-29,True,True,Spanish,9,Corporate,8db8175158fd,393.37
1471,Billing System,Account Suspension,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,Urgent,Pending Customer,Web Form,Australia,Premium,43,19,4,58.43,228.5,2022-09-13,2022-09-22,False,True,Chinese,2,Individual,4e4193b74ed0,287.84
1472,CRM Platform,Bug Report,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,High,Resolved,Social Media,Africa,Basic,58,4,5,1.77,206.75,2022-09-09,2022-09-17,False,True,Chinese,6,Individual,169f26d12a87,371.84
1473,Subscription Service,Subscription Cancellation,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,High,Open,Phone,Africa,Free,2,6,2,68.41,176.89,2023-08-10,2023-08-14,True,False,Japanese,7,Small Business,4ba3dc97acdc,440.47
1474,Mobile App,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,The duplicate charge was reversed and refund processed within 3-5 business days.,High,Open,Social Media,Europe,Basic,48,14,5,12.9,5.26,2022-10-06,2022-10-18,True,False,French,4,Corporate,b4ac3fd9e5b6,208.03
1475,Payment Gateway,Bug Report,I found a bug in the latest update affecting report generation.,The issue was escalated to engineering and resolved in the latest patch.,High,In Progress,Phone,South America,Basic,30,14,3,26.39,162.19,2023-03-10,2023-03-19,True,True,French,2,Individual,a877cc269e47,170.25
1476,Subscription Service,Refund Request,The application crashes whenever I try to upload a file.,Data synchronization restored after backend service restart.,Urgent,Closed,Web Form,Australia,Premium,12,0,3,33.54,216.15,2022-03-13,2022-03-16,True,False,German,1,Small Business,00701c7d321e,337.12
1477,Mobile App,Performance Issue,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,Medium,Pending Customer,Phone,South America,Enterprise,38,9,4,53.85,107.38,2022-12-30,2023-01-07,False,True,German,7,Corporate,321cf254463c,405.84
